BI数据分析师（浦东）,塘桥,16:08发布,策推信息,10k-15k,10k-15k 经验1-3年 / 本科,
高级数据分析师（互联网方向）,五里桥,16:03发布,上海趣致,13k-18k·13薪,13k-18k·13薪 经验3-5年 / 本科,
实习数据分析师,张江,15:49发布,长投学堂,6k-9k,6k-9k 经验1年以下 / 本科,
数据分析师/数据分析负责人,张江,15:49发布,长投学堂,30k-50k·15薪,30k-50k·15薪 经验5-10年 / 本科,
商业数据分析师,虹梅路,15:27发布,驰骛科技ChiefClouds,15k-30k·13薪,15k-30k·13薪 经验3-5年 / 本科,
数据分析师-上海,静安区,15:16发布,神策数据,15k-25k,15k-25k 经验5-10年 / 本科,
数据建模工程师（机器学习）,松江区,14:41发布,诺悦智能,15k-20k,15k-20k 经验1-3年 / 硕士,
高级大数据分析师,外滩,15:16发布,百联全渠道电商,20k-30k·14薪,20k-30k·14薪 经验3-5年 / 本科,
资深大数据分析师,外滩,15:16发布,百联全渠道电商,25k-40k·14薪,25k-40k·14薪 经验5-10年 / 本科,
游戏数据分析师,张江,14:26发布,上海域起,18k-30k,18k-30k 经验3-5年 / 本科,
电商数据分析师,静安区,18:23发布,联蔚数据,8k-13k,8k-13k 经验1-3年 / 本科,
数据分析工程师,曹杨,13:45发布,上海游盾,10k-20k,10k-20k 经验1-3年 / 本科,
品牌营销策划（数据分析）,闵行区,10:29发布,上海莫凡,9k-13k·13薪,9k-13k·13薪 经验3-5年 / 本科,
数据分析师,闵行区,2020-06-13,途虎养车网,20k-40k,20k-40k 经验5-10年 / 本科,
商业数据分析师-华东,徐汇区,13:04发布,GrowingIO,15k-30k,15k-30k 经验3-5年 / 本科,
智能电商数据分析&算法实习生,徐汇区,16:51发布,明略科技集团,3k-5k,3k-5k 经验应届毕业生 / 本科,
高级数据分析师（GA & GTM）,长宁区,11:42发布,飞书深诺,15k-25k,15k-25k 经验3-5年 / 本科,
BI数据分析师,静安区,16:40发布,易居中国,25k-30k,25k-30k 经验3-5年 / 本科,
数据分析师(J10855),静安区,11:49发布,房多多,13k-23k,13k-23k 经验1-3年 / 不限,
高级数据分析师（流量增长方向）,延吉,11:39发布,虎扑,15k-25k,15k-25k 经验3-5年 / 本科,
游戏数据分析,五里桥,11:22发布,分众游戏,8k-16k,8k-16k 经验1-3年 / 本科,
数据分析（客户运营方向）,闵行区,11:39发布,驿氪科技EZR,8k-12k·13薪,8k-12k·13薪 经验3-5年 / 本科,
数据分析/数据挖掘工程师,五里桥,16:03发布,上海趣致,8k-15k·13薪,8k-15k·13薪 经验1-3年 / 大专,
数据分析师--SQL,汶水路,11:08发布,arvato China,7k-12k,7k-12k 经验3-5年 / 不限,
数据分析高级经理,华漕,10:38发布,红星美凯龙,25k-35k,25k-35k 经验10年以上 / 本科,
数据分析师（供应链）,闵行区,11:20发布,永辉云创科技有限公司,20k-40k,20k-40k 经验5-10年 / 本科,
数据分析师,陆家嘴,1天前发布,小花科技,10k-20k·15薪,10k-20k·15薪 经验3-5年 / 本科,
数据分析-虹口区,虹口区,10:13发布,网达软件,10k-16k,10k-16k 经验1-3年 / 本科,
大数据工程师-数据分析,静安区,10:10发布,上海丙晟科技有限公司,16k-21k·13薪,16k-21k·13薪 经验3-5年 / 本科,
数据分析师,静安区,1天前发布,上海定卓,14k-20k,14k-20k 经验3-5年 / 本科,
数据分析师-digital-广告监测方向,中山公园,14:34发布,明略科技集团,6k-7k·14薪,6k-7k·14薪 经验不限 / 本科,
高级数据分析师,虹口区,1天前发布,平安好学,11k-15k,11k-15k 经验3-5年 / 本科,
数据分析,南京东路,1天前发布,CLPS,16k-30k,16k-30k 经验1-3年 / 硕士,
数据分析师,中山公园,1天前发布,互盾科技,15k-30k,15k-30k 经验1-3年 / 本科,
数据分析专家（流量）,南方商城,2020-08-13,途虎养车网,25k-50k·14薪,25k-50k·14薪 经验5-10年 / 本科,
数据分析实习,曹杨,10:52发布,联元智能科技,5k-6k,5k-6k 经验应届毕业生 / 不限,
数据分析师,张江,1天前发布,阅文集团,10k-20k·13薪,10k-20k·13薪 经验3-5年 / 本科,
数据分析师,浦东新区,1天前发布,Soul,20k-40k,20k-40k 经验3-5年 / 本科,
高级数据分析师,张江,1天前发布,还呗-智能信贷领先者,18k-30k,18k-30k 经验3-5年 / 本科,
数据分析,张江,1天前发布,还呗-智能信贷领先者,15k-25k,15k-25k 经验3-5年 / 本科,
数据分析师,七宝,1天前发布,百姓网,10k-15k,10k-15k 经验1-3年 / 本科,
数据分析师,北蔡,1天前发布,萨摩耶数科,10k-15k·14薪,10k-15k·14薪 经验1-3年 / 本科,
1231GP-大数据分析师,唐镇,07:59发布,平安金服,15k-25k,15k-25k 经验1-3年 / 本科,
数据分析实习,花木,09:16发布,云鹊医疗,3k-4k,3k-4k 经验应届毕业生 / 不限,
初级数据分析师,虹梅路,10:04发布,至数,5k-10k,5k-10k 经验应届毕业生 / 不限,
数据分析师校招,田林,10:04发布,至数,2k-3k,2k-3k 经验应届毕业生 / 本科,
数据分析师,闵行区,1天前发布,上海算酷信息科技有限公司,7k-10k,7k-10k 经验应届毕业生 / 本科,
数据分析工程师,金桥,09:04发布,证通股份,10k-20k,10k-20k 经验应届毕业生 / 本科,
数据分析实习生,徐汇区,1天前发布,意臣信息,3k-4k,3k-4k 经验应届毕业生 / 本科,
0831I0-数据分析岗,陆家嘴,00:00发布,平安养老保险股份有限公司,25k-30k,25k-30k 经验1-3年 / 本科,
03325C-数据分析师,唐镇,00:00发布,平安产险,20k-30k,20k-30k 经验3-5年 / 本科,
数据分析师,龙华,1天前发布,猛犸科技,11k-20k·16薪,11k-20k·16薪 经验1-3年 / 本科,
数据分析项目经理,黄浦区,14:21发布,行动贝果,15k-20k,15k-20k 经验1-3年 / 本科,
数据分析师,陆家嘴,1天前发布,知掘教育,12k-15k,12k-15k 经验应届毕业生 / 硕士,
11217R-高级数据分析师（GBD）,徐汇区,00:00发布,平安科技,15k-30k,15k-30k 经验3-5年 / 本科,
高级数据分析师（王牌联盟）(J12292),浦东新区,1天前发布,2345.com,12k-20k,12k-20k 经验1-3年 / 本科,
bi数据分析师,张江,1天前发布,ezbuy,15k-25k,15k-25k 经验3-5年 / 本科,
风控数据分析师,徐家汇,1天前发布,安心平台,15k-25k·13薪,15k-25k·13薪 经验3-5年 / 本科,
大数据分析师,虹口区,1天前发布,平安好学,13k-20k,13k-20k 经验1-3年 / 本科,
0231CO-数据分析岗,陆家嘴,00:00发布,平安人寿,10k-15k,10k-15k 经验1年以下 / 本科,
0231VS-数据建模设计岗,陆家嘴,00:00发布,平安人寿,10k-15k,10k-15k 经验1-3年 / 本科,
数据建模分析师,城隍庙,1天前发布,中诚信征信,15k-30k,15k-30k 经验3-5年 / 硕士,
数据分析师（风控建模方向-上海）,城隍庙,1天前发布,中诚信征信,15k-30k,15k-30k 经验1-3年 / 硕士,
数据分析（内容策略） (MJ000662),田林,1天前发布,上海米哈游,15k-30k,15k-30k 经验不限 / 不限,
境外数据分析 (MJ000102),田林,1天前发布,上海米哈游,15k-30k,15k-30k 经验不限 / 不限,
数据分析师/数据产品经理（电商大数据行业 ）,人民广场,1天前发布,任拓数据科技（上海）有限公司,15k-30k,15k-30k 经验5-10年 / 本科,
数据分析岗经理G01086,长阳路,1天前发布,诺亚（中国）控股有限公司,20k-30k,20k-30k 经验3-5年 / 本科,
数据建模工程师,洋泾,1天前发布,薄荷,20k-30k,20k-30k 经验1-3年 / 硕士,
25210V-数据分析师,陆家嘴,00:00发布,陆金所,13k-26k,13k-26k 经验3-5年 / 本科,
253162-风控大数据建模经理,浦东新区,00:00发布,陆金所,25k-40k,25k-40k 经验5-10年 / 本科,
奇秀-数据分析经理--3058,长宁区,1天前发布,爱奇艺,30k-40k,30k-40k 经验5-10年 / 本科,
数据产品经理（数据分析方向）,张江,1天前发布,阅文集团,20k-40k,20k-40k 经验3-5年 / 本科,
风控数据分析师,陆家嘴,1天前发布,小花科技,8k-10k,8k-10k 经验应届毕业生 / 本科,
商业数据分析师,镇宁路,1天前发布,上海威超广告有限公司,8k-16k,8k-16k 经验1-3年 / 本科,
商业数据分析,漕河泾,1天前发布,MarcPoint,10k-15k,10k-15k 经验1-3年 / 本科,
数据分析师（海外业务）,虹口区,1天前发布,通联数据,5k-10k,5k-10k 经验1-3年 / 本科,
数据分析全栈顾问,闵行区,1天前发布,上海算酷信息科技有限公司,8k-12k,8k-12k 经验3-5年 / 本科,
资深数据分析师(J10061),青浦区,1天前发布,德邦,15k-25k,15k-25k 经验3-5年 / 本科,
BI数据分析师,徐家汇,1天前发布,轻轻教育,11k-15k,11k-15k 经验1-3年 / 本科,
数据分析 (MJ000137),万源城,1天前发布,沐瞳游戏,15k-30k,15k-30k 经验3-5年 / 本科,
